종목코드,수량,평가손익
A023760,20,13.99979439547778
A032820,20,25.824345024585632
A033170,20,24.39173127064171
A038460,30,9.020250762801387
A038880,20,-6.695845909458846
A043200,20,6.178443452315642
A046890,20,-3.986045553091562
A048410,20,-27.923714193868076
A052670,20,-3.9619015921566962
A066430,20,6.639518446270226
A080220,20,-10.582686171004559
A081150,20,10.211212944737348
A084730,20,0.9943734066802987
A097780,20,-1.2720140564548554
A175250,20,3.559497704601681
A227950,20,10.524731191216691
A306620,20,-9.132341657350382
A339950,20,51.53891210043998
